ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
634;SALVIA   fresca     ;100;66,4;119;498;3,9;0;3,9;4,6;0;4,6;2,54;0,63;0,68;0,19;0,44;0;0,64;0;15,6;0;15,6;14,7;0;10,3;600;4;390;33;1,7;0,11;0,34;5,7;0;1,21;0;215;0;1290;1,69;0;1;8015;24001;SALVIA [SALVIA OFFICINALIS], fresca
635;SALVIA secca macinata      ;100;8;315;1318;10,6;0;10,6;12,7;0;12,7;7,03;1,75;1,87;0,53;1,23;0;1,76;0;42,7;0;42,7;18,1;0;28,1;1650;11;1070;91;4,7;0,11;0,34;5,7;0;0,38;0;590;0;3540;9,15;0;1;8016;24001;SALVIA, secca macinata
636;SARAGO        ;54;76;103;431;15;15;0;4,4;4,4;0;0,57;0,41;0,85;0;0,22;2,26;2,48;70;1;0;1;0;0;1,2;38;77;350;264;0,5;0,08;0,1;2,8;0;0,19;5;48;48;0;0,4;0;1;100115;11001;SARAGO [DIPLODUS SARGUS]
637;SARDA        ;70;73;129;540;20,8;20,8;0;4,5;4,5;0;1,02;0,69;1,2;0,06;0;1,71;1,77;84;1,5;0;1,5;0;0;1,8;33;66;630;215;0,8;0,02;0,25;9,7;0;0,33;3;28;28;0;0,12;4,5;1;1319;11001;SARDA [SARDINA PILCHARDUS]
638;SARDINE SALATE       ;48;62;133;556;25,1;25,1;0;3,6;3,6;0;0,82;0,55;0,96;0,05;0;1,37;1,42;60;0;0;0;0;0;0,8;540;530;320;510;0,9;0,01;0,26;4,4;0;0,16;8;12;12;0;0,29;4,6;1;100136;11003;SARDINE SALATE
639;SARDINE SOTT'OLIO       ;73;57;198;828;22,3;22,3;0;12,1;9,8;2,3;2,4;3,43;4,98;2,23;0,34;1,8;4,38;140;0;0;0;0;0;2,8;613;480;410;368;2,2;0,12;0,34;7,4;0;0,18;8;6;6;0;0,27;4,3;1;100137;11003;SARDINE SOTT'OLIO
640;SCALOGNO        ;72;92,8;20;84;1,5;0;1,5;0,2;0;0,2;0,03;0,03;0,03;0,07;0;0;0,08;0;3,3;0;3,3;1,5;0;0,8;24;10;180;50;0,4;0,04;0,06;0,6;13;0,2;17;445;0;2669;0,31;0;1;19067;2005;SCALOGNO [ALLIUM ASCALONIUM]
641;SCAMORZA        ;100;58,7;209;874;22,7;22,7;0;10,1;10,1;0;6,28;2,45;2,85;0,21;0,09;0;0,3;65;7,2;0;7,2;0;0;0,2;392;137;38;229;4,3;0,05;0,51;0,4;0;0,09;19;268;240;170;0,33;0,16;1;1724;7001;SCAMORZA
642;SCAMORZA AFFUMICATA       ;100;58,7;209;874;22,7;22,7;0;10,1;10,1;0;6,28;2,45;2,85;0,21;0,09;0;0,3;65;7,2;0;7,2;0;0;0,2;392;137;38;229;4,3;0,05;0,51;0,4;0;0,09;19;268;240;170;0,33;0,16;1;700435;7001;SCAMORZA AFFUMICATA
643;SCAROLA        ;60;93;15;63;1,6;0;1,6;0,2;0;0,2;0,05;0;0;0,07;0,01;0;0,09;0;1,7;0;1,7;1,5;0;0,3;30;9;240;23;0,2;0,06;0,07;0,4;15;0,02;156;167;0;1000;0,57;0;1;100181;2008;SCAROLA [LACTUCA SCAROLA]
644;SCIROPPO DI MALTO      ;100;21,1;318;1331;6,2;0;6,2;0;0;0;0;0;0;0;0;0;0;0;71,3;0;0;0;0;1;61;35;320;236;0,1;0,01;0,39;8,1;0;0,5;12;0;0;0;0;0;1;888011;14008;SCIROPPO DI MALTO
645;SCIROPPO PER BIBITE      ;100;20;297;1243;0,3;0;0,3;0;0;0;0;0;0;0;0;0;0;0;79;0;79;0;0;1,5;26;270;240;20;0,1;0;0;0;0;0;0;0;0;0;0;0;1;53017;14008;SCIROPPO PER BIBITE
646;SCORZONERA        ;59;83,3;27;113;1,3;0;1,3;0,3;0;0,3;0,07;0,01;0,01;0,11;0,02;0;0,13;0;10,2;3,5;1,5;3,2;0;0,9;42;5;310;42;0,2;0,06;0,01;0,2;3;0,07;57;3;0;20;0,19;0;1;500013;2003;SCORZONERA [TRAGOPOGON PORRIFOLIUS]
647;SEDANO        ;80;88,3;20;84;2,3;0;2,3;0,2;0;0,2;0,05;0,04;0,04;0,1;0;0;0,1;0;2,4;0,2;2,2;1,6;0;0,5;31;140;280;45;0,1;0,06;0,19;0,2;32;0,07;38;207;0;1242;0,48;0;1;343;2009;SEDANO [APIUM GRAVEOLENS]
648;SEDANO RAPA       ;72;88;23;96;1,9;0;1,9;0,1;0;0,1;0,03;0,02;0,02;0,05;0;0;0,05;0;3,8;0;3,8;5,1;0;0,5;52;91;460;90;0,3;0,07;0,11;0,5;6;0,08;51;0;0;0;0,52;0;1;344;2003;SEDANO RAPA [APIUM GRAVEOLENS, CV RAPACEUM]
649;SEGO DI BUE      ;100;2;872;3648;0,8;0,8;0;96,5;96,5;0;48,06;34,74;40,34;2,99;0,58;0,29;3,86;109;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;224;224;0;2,7;0;1;1904;13003;SEGO DI BUE
650;SEMOLA        ;100;14;341;1427;11,5;0;11,5;0,5;0;0,5;0,12;0,06;0,06;0,29;0,02;0;0,31;0;77,6;75,7;1,9;3,6;0;1,3;17;12;170;165;0,6;0,19;0,15;2;0;0,15;22;0;0;0;0;0;1;17;8002;SEMOLA
651;SEPPIA        ;50;81,5;72;301;14;14;0;1,5;1,5;0;0,43;0;0,21;0;0;0,43;0,43;110;0,7;0;0,7;0;0;0,8;27;97;273;143;1,2;0,11;0,04;0,9;0;0,39;13;25;25;0;1,2;0;1;1320;11002;SEPPIA [SEPIA OFFICINALIS]
652;SEPPIA SURGELATA       ;98;82;63;264;14,1;14,1;0;0,4;0,4;0;0,11;0;0,06;0;0;0,11;0,11;110;0,7;0;0;0;0;0,8;27;94;273;143;1,2;0,1;0,04;0,9;0;0,39;13;0;0;0;1,2;0;1;100126;11002;SEPPIA SURGELATA
653;SGOMBRO FILETTI SOTT'OLIO      ;88;59;201;841;25,3;25,3;0;10,7;8,1;2,6;2,31;3,28;4,96;0,32;0,14;1,56;2,02;94;1;0;1;0;0;0,9;32;224;92;280;0,5;0,15;0,22;6;0;0,12;1;125;125;0;0,59;2,9;1;700384;11003;SGOMBRO, FILETTI SOTT'OLIO
654;SGOMBRO O MACCARELLO      ;80;69,8;168;703;17;17;0;11,1;11,1;0;2,6;1,84;4,13;0,16;0,15;2,15;2,46;95;0;0;0;0;0;1,2;38;130;360;264;0,5;0,1;0,25;7,6;0;0,34;1;45;45;0;0,25;2,9;1;1321;11001;SGOMBRO O MACCARELLO [SCOMBER SCOMBRUS]
655;SGOMBRO O MACCARELLO IN SALAMOIA    ;100;66;177;741;19,3;19,3;0;11,1;11,1;0;2,6;1,84;4,13;0,16;0,15;2,15;2,46;32;0;0;0;0;0;2,1;185;232;95;274;2,3;0,06;0,21;5,8;0;0,12;1;129;129;0;0,43;3;1;1511;11004;SGOMBRO O MACCARELLO IN SALAMOIA
656;SHOYU salsa di soia e grano   ;100;71,1;53;222;5,2;0;5,2;0,1;0;0,1;0,01;0,01;0,01;0,03;0;0;0,04;0;7,7;6,9;0,8;0,8;0;2;17;5715;180;110;0,4;0,05;0,13;3,4;0;0,17;16;0;0;0;0;0;1;888009;3004;SHOYU, salsa di soia e grano
657;SODA DOLCE       ;100;93,8;22;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,8;0;5,8;0;0;0;5;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3015;16001;SODA DOLCE
658;SOFFICINI AL FORMAGGIO SURGELATI     ;100;56,4;278;1163;7,2;3,4;3,8;15,8;7,7;8,1;3,14;3,78;3,78;7,16;0,39;0;7,55;31;28,6;27,8;0,8;1,4;0;0,3;112;460;150;210;1,3;0,23;0,12;0,2;1;0,06;8;118;110;50;0,6;0,46;1;65099;27001;SOFFICINI AL FORMAGGIO SURGELATI
659;SOGLIOLA        ;48;79,5;86;360;16,9;16,9;0;1,7;1,7;0;0,22;0,16;0,33;0;0,09;0,87;0,96;57;0,8;0;0,8;0;0;0,8;12;120;280;195;0,4;0,05;0,05;1,7;0;0,19;5;0;0;0;0,4;0;1;1322;11001;SOGLIOLA [SOLEA SOLEA]
660;SOGLIOLA SURGELATA       ;48;79,4;84;351;17,3;17,3;0;1,3;1,3;0;0,17;0,12;0,25;0;0,07;0,67;0,73;44;0,8;0;0,8;0;0;0,4;11;120;280;174;0,4;0,08;0,12;3,8;0;0,19;5;0;0;0;0,4;0;1;1404;11001;SOGLIOLA SURGELATA
661;SOIA   SEMI     ;100;8,5;398;1665;36,9;0;36,9;18,1;0;18,1;2,54;4,03;4,12;9,3;1,38;0;10,67;0;23,3;12,3;11;11,9;0;6,9;257;4;1740;591;4,3;0,99;0,52;2,5;0;0,38;370;2;0;12;2,9;0;1;208;3001;SOIA [GLYCINE MAX], SEMI
662;SOIA BISTECCA       ;100;7,3;329;1377;47;0;47;1,2;0;1,2;0,14;0,21;0,21;0,47;0,06;0;0,53;0;20,9;11;9,9;17,5;0;9,2;241;20;2384;674;2,5;0,7;0,25;2,6;0;0,57;305;4;0;24;0,2;0;1;702207;3004;SOIA, BISTECCA
663;SOIA GERMOGLI       ;98;86,3;49;205;6,2;0;6,2;1,4;0;1,4;0,2;0,31;0,32;0,72;0,11;0;0,83;0;3;0;3;1,1;0;1;48;30;218;67;1,2;0,23;0,2;0,8;13;0,18;172;24;0;144;0,2;0;1;350;2001;SOIA, GERMOGLI
664;SOTTILETTE        ;100;45,7;330;1381;20,8;20,8;0;27;27;0;16,14;7,1;8,61;0,36;0,38;0;0,74;85;0,9;0;0,9;0;0;0,5;600;1320;130;800;3,2;0,03;0,28;0,1;0;0,08;18;286;270;95;0,55;0,21;1;1799;7001;SOTTILETTE
665;SPECK        ;100;44,7;301;1259;28,3;28,3;0;20,9;20,9;0;5,72;8,4;9,44;3,13;0,16;0,62;3,91;90;0,5;0;0,5;0;0;1,8;19;2752;855;170;4,4;0,14;0,14;1,1;0;0,62;1;0;0;0;0,11;0,9;1;700478;10003;SPECK
666;SPIGOLA        ;54;79;82;343;16,5;16,5;0;1,5;1,5;0;0,24;0,24;0,36;0;0;0,3;0,3;64;0,6;0;0,6;0;0;1,1;20;69;256;202;0,3;0,11;0,16;3;0;0,3;9;15;15;0;0,5;0;1;1323;11001;SPIGOLA [MORONE LABRAX]
667;SPINACI        ;83;90,1;31;130;3,4;0;3,4;0,7;0;0,7;0,07;0,04;0,05;0,07;0,35;0;0,42;0;3;2,6;0,4;1,9;0;2,9;78;100;530;62;0,4;0,07;0,37;0,4;54;0,17;150;485;0;2910;1,71;0;1;345;2008;SPINACI [SPINACIA OLERACEA]
668;SPINACI IN SCATOLA      ;63;91,8;19;79;2,8;0;2,8;0,5;0;0,5;0,08;0,01;0,01;0,03;0,17;0,01;0,21;0;0,8;0;0,8;3,1;0;1,9;120;200;290;36;0,5;0,02;0,05;0,4;14;0,1;98;576;0;3455;1,71;0;1;700487;2008;SPINACI IN SCATOLA
669;SPREMUTA DI ARANCIA      ;100;89,3;33;138;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;0;8,2;0;8,2;0;0;0,2;15;2;180;17;0;0,05;0,03;0,4;44;0,06;24;38;0;228;0,15;0;1;405;4010;SPREMUTA DI ARANCIA
670;SPREMUTA DI POMPELMO      ;100;90;30;126;0,3;0;0,3;0;0;0;0;0;0;0;0;0;0;0;7,9;0;7,9;0;0;0,4;13;9;123;13;0,4;0,03;0,02;0,2;28;0,03;24;1;0;6;0,17;0;1;100203;4010;SPREMUTA DI POMPELMO
671;SPUMANTI AROMATICI       ;100;0;82;343;0,2;0;0,2;0;0;0;0;0;0;0;0;0;0;0;5,1;0;5,1;0;8,9;0,6;14;13;110;13;0;0;0,01;0,1;0;0,01;0;0;0;0;0;0;1;100243;17001;SPUMANTI AROMATICI
672;SPUMANTI DEMItr       ;100;0;71;297;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;2,5;0;2,5;0;8,8;0,5;9;5;58;9;0;0;0,01;0,1;0;0,02;0;0;0;0;0;0;1;100244;17001;SPUMANTI DEMItr
673;SPUMANTI SECCHI       ;100;0;65;272;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0,7;0;8,8;0,5;9;4;61;6;0;0;0,01;0,1;0;0,02;0;0;0;0;0;0;1;100245;17001;SPUMANTI SECCHI
674;STARNA   COSCIO     ;64;70;113;473;26,4;26,4;0;2,6;2,6;0;0,79;0,83;0,95;0,52;0,06;0,05;0,63;86;0;0;0;0;0;4,5;34;115;37;200;1,9;0,08;0,31;4,6;0;0,35;28;0;0;0;0;0,4;1;100049;10050;STARNA [PERDIX PERDIX], COSCIO
675;STOCCAFISSO   ammollato     ;85;76,1;92;385;20,7;20,7;0;0,9;0,9;0;0,13;0,13;0,13;0;0;0,39;0,39;50;0,3;0;0,3;0;0;0,6;9;136;407;163;0,4;0,01;0,08;1;0;0,18;12;0;0;0;0,44;0;1;1512;11004;STOCCAFISSO [GADUS POUTASSOU], ammollato
676;STOCCAFISSO secco       ;78;12;358;1498;80,1;80,1;0;3,5;3,5;0;0,68;0,32;0,51;0,03;0,01;1,15;1,19;82;1,1;0;1,1;0;0;3,3;60;500;1500;450;1,6;0,14;0,5;3,5;0;0,86;25;0;0;0;0,6;0;1;1513;11004;STOCCAFISSO, secco
677;STRACCHINO        ;100;53,5;300;1255;18,5;18,5;0;25,1;25,1;0;15,58;6,87;8,12;0,52;0,37;0;0,89;90;0;0;0;0;0;0,3;567;414;62;374;1,7;0,05;0,36;0,1;0;0,08;19;293;275;105;0,24;0,17;1;1725;7001;STRACCHINO
678;STRUTTO O SUGNA      ;100;0,5;892;3732;0,3;0,3;0;99;99;0;42,47;39,06;43,11;8,95;0,92;1,83;11,7;95;0;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1902;13003;STRUTTO O SUGNA
679;SUCCO DI ALBICOCCA, CONSERVATO     ;100;86;47;197;0,3;0;0,3;0,1;0;0,1;0,01;0,04;0,04;0,02;0;0;0,02;0;12;0;12;0,2;0;0,4;9;3;70;13;0,1;0,01;0,01;0,3;60;0,02;1;132;0;792;0,08;0;1;100201;4010;SUCCO DI ALBICOCCA, CONSERVATO
680;SUCCO DI ANANAS, CONSERVATO     ;100;85,5;56;234;0,3;0;0,3;0,1;0;0,1;0,01;0,01;0,01;0,02;0,01;0;0,03;0;13,6;0;13,6;0,2;0;0,3;17;1;134;8;0,1;0,06;0,02;0,3;11;0,1;23;0;0;0;0,02;0;1;805913;4010;SUCCO DI ANANAS, CONSERVATO
681;SUCCO DI ARANCIA E POMPELMO non zuccherato  ;100;88,6;43;180;0,6;0;0,6;0,1;0;0,1;0,01;0,02;0,02;0,01;0,01;0;0,02;0;10,2;0;10,2;0,1;0;0,5;8;3;158;14;0,1;0,06;0,03;0,3;29;0,02;14;12;0;72;0,07;0;1;900074;4010;SUCCO DI ARANCIA E POMPELMO non zuccherato
682;SUCCO DI ARANCIA, CONCENTRATO     ;100;41,6;185;774;2,9;0;2,9;0,5;0;0,5;0,06;0,08;0,1;0,08;0,03;0;0,1;0;44,9;0;44,9;0;0;0,4;36;10;880;83;0,2;0,31;0,13;1,3;210;0,25;90;28;0;170;0,68;0;1;8026;4010;SUCCO DI ARANCIA, CONCENTRATO
683;SUCCO DI ARANCIA, CONSERVATO, non zuccherato   ;100;89,2;36;151;0,5;0;0,5;0,1;0;0,1;0,01;0,01;0,02;0,02;0;0;0,02;0;8,8;0;8,8;0,1;0;0,2;10;10;150;13;0;0,08;0,02;0,2;39;0,07;20;3;0;17;0,17;0;1;9004;4010;SUCCO DI ARANCIA, CONSERVATO, non zuccherato
684;SUCCO DI BARBABIETOLA, FRESCO     ;100;93,8;14;59;0,8;0;0,8;0;0;0;0;0;0;0;0;0;0;0;2,9;0;2,9;1,9;0;0,3;14;60;214;15;0,3;0,02;0,01;0,1;5;0,01;72;0;0;0;0;0;1;805614;2006;SUCCO DI BARBABIETOLA, FRESCO
685;SUCCO DI CAROTE, CONSERVATO     ;100;92,3;24;100;0,5;0;0,5;0,1;0;0,1;0,02;0;0;0,04;0,01;0;0,05;0;5,7;0;5,7;0,6;0;0,2;16;51;240;25;0,1;0,03;0,07;0,7;6;0,14;12;1353;0;8115;0,56;0;1;805605;2006;SUCCO DI CAROTE, CONSERVATO
686;SUCCO DI FRUTTA, CONSERVATO     ;100;84,5;56;234;0,3;0;0,3;0,1;0;0,1;0,02;0,03;0,03;0,05;0,01;0;0,06;0;14,5;0;14,5;0,2;0;0,3;8;7;70;11;0,1;0,01;0,03;0,3;60;0,04;1;0;0;0;0;0;1;3006;4010;SUCCO DI FRUTTA, CONSERVATO
687;SUCCO DI LIMONE, CONSERVATO     ;100;92,5;21;88;0,4;0;0,4;0,3;0;0,3;0,04;0,01;0,01;0,06;0,03;0;0,09;0;6,1;0;6,1;0,4;0;0,1;11;21;102;9;0,1;0,04;0,01;0,2;25;0,04;10;2;0;12;0,09;0;1;608533;4010;SUCCO DI LIMONE, CONSERVATO
688;SUCCO DI LIMONE, FRESCO     ;100;92,1;6;25;0,2;0;0,2;0;0;0;0;0;0;0;0;0;0;0;1,4;0;1,4;0;0;0,2;14;2;140;10;0;0,02;0,02;0,2;43;0,05;13;0;0;0;0,19;0;1;414;4010;SUCCO DI LIMONE, FRESCO
689;SUCCO DI MANDARINO, CONSERVATO, non zuccherat   ;100;87;50;209;0,5;0;0,5;0,2;0;0,2;0,01;0,02;0,02;0,02;0,01;0;0,03;0;11,8;0;11,8;0,2;0;0,2;18;1;178;14;0;0,06;0,02;0,1;32;0,03;5;42;0;252;0,09;0;1;805929;4010;SUCCO DI MANDARINO, CONSERVATO, non zuccherat
690;SUCCO DI MANDARINO, FRESCO     ;100;88,9;43;180;0,5;0;0,5;0,2;0;0,2;0,02;0,03;0,04;0,03;0,01;0;0,04;0;9,9;0;9,9;0,2;0;0,2;18;1;178;14;0;0,06;0,02;0,1;31;0,04;5;42;0;252;0,09;0;1;888007;4010;SUCCO DI MANDARINO, FRESCO
691;SUCCO DI MELA, CONSERVATO, non zuccherato   ;100;88;38;159;0,1;0;0,1;0,1;0;0,1;0,02;0;0;0,03;0,01;0;0,03;0;9,9;0;9,9;0;0;0,1;7;2;110;6;0;0,01;0,01;0,1;14;0,02;4;0;0;0;0;0;1;805914;4010;SUCCO DI MELA, CONSERVATO, non zuccherato
692;SUCCO DI MELAGRANA, FRESCO     ;100;85,4;44;184;0,2;0;0,2;0;0;0;0;0;0;0;0;0;0;0;11,6;0;11,6;0;0;0,2;3;1;200;8;0,1;0,02;0,03;0,2;8;0,31;6;6;0;33;0,55;0;1;608532;4010;SUCCO DI MELAGRANA, FRESCO
693;SUCCO DI PERA, CONSERVATO     ;100;84;60;251;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;15,2;0;15,2;0,6;0;0,3;5;4;13;3;0,1;0;0,01;0,1;1;0,01;1;0;0;0;0,1;0;1;500029;4010;SUCCO DI PERA, CONSERVATO
694;SUCCO DI PESCA, CONSERVATO     ;100;85,6;54;226;0,3;0;0,3;0;0;0;0;0;0;0;0;0;0;0;13,3;0;13,3;0,6;0;0,2;5;7;40;6;0,1;0;0,01;0,3;5;0,01;1;26;0;156;0,01;0;1;53018;4010;SUCCO DI PESCA, CONSERVATO
695;SUCCO DI POMODORO, CONSERVATO     ;100;93,8;14;59;0,8;0;0,8;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0,6;0;0,4;10;230;230;19;0,1;0,02;0,02;0,7;8;0,06;10;33;0;200;1,01;0;1;805698;2006;SUCCO DI POMODORO, CONSERVATO
696;SUCCO DI POMPELMO, CONSERVATO, non zuccherato   ;100;89,4;33;138;0,4;0;0,4;0,1;0;0,1;0,01;0,01;0,01;0,02;0,01;0;0,03;0;8,3;0;8,3;0;0;0,2;14;7;100;11;0;0,04;0,01;0,2;31;0,02;6;0;0;1;0,19;0;1;805922;4010;SUCCO DI POMPELMO, CONSERVATO, non zuccherato
697;SUCCO DI POMPELMO, CONSERVATO, zuccherato    ;100;87,4;46;192;0,6;0;0,6;0,1;0;0,1;0,01;0,01;0,01;0,02;0;0;0,02;0;11;0;11;0,1;0;0,4;8;2;162;11;0,1;0,04;0,02;0,3;27;0,02;10;0;0;0;0,05;0;1;53020;4010;SUCCO DI POMPELMO, CONSERVATO, zuccherato
698;SUCCO DI SPINACI      ;100;95,4;10;42;1,4;0;1,4;0,3;0;0,3;0,03;0,02;0,02;0,03;0,16;0;0,2;0;0,5;0;0,5;0,9;0;1,4;1;73;412;44;0,2;0,03;0,17;0,2;29;0,08;70;225;0;1352;0,79;0;1;805671;2006;SUCCO DI SPINACI
699;SUCCO DI UVA, CONSERVATO, non zuccherato   ;100;85,4;46;192;0,3;0;0,3;0,1;0;0,1;0,03;0;0;0,02;0,01;0;0,03;0;11,7;0;11,7;0;0;0,9;19;7;55;14;0,1;0;0,01;0,1;0;0,04;1;0;0;0;0;0;1;53021;4010;SUCCO DI UVA, CONSERVATO, non zuccherato
700;SUCCO TROPICALE, CONSERVATO      ;100;88;47;197;0,2;0;0,2;0,1;0;0,1;0,01;0,01;0,01;0,02;0,01;0;0,03;0;11,6;0;11,6;0;0;0,3;7;14;61;6;0,1;0,03;0,02;0,3;46;0,04;11;4;0;24;0;0;1;19070;4010;SUCCO TROPICALE, CONSERVATO
701;SUINO BISTECCA       ;75;74;100;418;18,3;18,3;0;3;3;0;1,37;0,83;0,93;0,55;0;0;0,55;60;0;0;0;0;0;1,5;8;76;370;223;1,8;1,12;0,18;4,5;0;0,59;1;0;0;0;0,05;0,5;1;1043;10060;SUINO, BISTECCA
702;SUINO CARNE MAGRA      ;100;72,5;141;590;19,9;19,9;0;6,8;6,8;0;3,11;1,88;2,11;1,24;0,01;0;1,25;60;0;0;0;0;0;1,7;8;76;370;176;2,9;0,4;0,11;4,8;0;0,5;1;0;0;0;0;0,5;1;1040;10060;SUINO, CARNE MAGRA
703;SUINO CARNE SEMIGRASSA    ;100;60;268;1121;17,2;17,2;0;22,1;22,1;0;10,11;6,09;6,86;4,02;0,03;0;4,05;62;0;0;0;0;0;1,4;7;59;300;158;1,3;0,38;0,1;4;0;0,62;1;0;0;0;0,11;0,9;1;1041;10060;SUINO [SUS SCROFA], CARNE SEMIGRASSA
704;SUINO COSCIO       ;100;75,3;102;427;18,7;18,7;0;3;3;0;1,37;0,83;0,93;0,55;0;0;0,55;60;0;0;0;0;0;1,6;12;76;370;233;1,8;1,35;0,2;4,5;0;0,56;1;0;0;0;0,05;0,5;1;1044;10060;SUINO, COSCIO
705;SUINO CUORE       ;100;72;159;665;18,3;18,3;0;9,4;9,4;0;2,71;2,18;2,35;1,41;0,13;0,47;2,01;79;0,4;0;0,4;0;0;5,3;35;80;300;245;2,3;0,4;1,27;6,1;5;0,37;3;9;5;27;0,45;0,85;1;1243;10061;SUINO, CUORE
706;SUINO FEGATO       ;100;70;140;586;22,8;22,8;0;4,8;4,8;0;1,48;0,68;0,74;0,52;0,02;0,77;1,31;403;1,5;0;1,5;0;0;18;10;108;356;362;7;0,4;2,98;14,5;23;0,59;295;16500;16500;0;0,51;1,7;1;1244;10061;SUINO, FEGATO
707;SUINO SANGUE       ;100;79,1;78;326;19;19;0;0,2;0,2;0;0,01;0,01;0,01;0,08;0,04;0;0,12;46;0,1;0;0,1;0;0;0,2;10;207;185;49;0,3;0,02;0,09;0,6;0;0;4;11;11;0;0,4;0,1;1;31298;10061;SUINO, SANGUE
708;SURIMI        ;100;76,3;99;414;15,2;15,2;0;0,9;0,9;0;0,17;0,06;0,21;0;0;0,36;0,36;30;6,9;6,9;0;0;0;0,3;9;143;112;282;0,3;0,02;0,02;0,2;0;0,03;2;20;20;0;0,44;0;1;888006;11004;SURIMI
709;TACCHINA   PETTO     ;100;70,2;145;607;22;22;0;6,2;6,2;0;2,01;1,9;2,2;1,07;0,09;0,18;1,34;57;0,4;0;0,4;0;0;2,5;23;51;320;290;1;0,08;0,13;11;0;0,81;9;0;0;0;0;0,3;1;1095;10050;TACCHINA [MELEAGRIS GALLOPAVO], PETTO
710;TACCHINA ALA       ;75;59,7;241;1008;22,3;22,3;0;16,9;16,9;0;5,11;5,4;6,2;3,39;0,4;0,3;4,09;78;0;0;0;0;0;2,5;27;70;320;257;1,8;0,11;0,27;4,6;0;0,55;16;0;0;0;0,01;0,4;1;1097;10050;TACCHINA, ALA
711;TACCHINA COSCIA       ;87;59,6;253;1059;20,9;20,9;0;18,7;18,7;0;5,65;5,97;6,86;3,75;0,44;0,34;4,52;86;0,4;0;0,4;0;0;2,5;27;81;310;257;3,1;0,11;0,27;4,6;0;0,35;28;0;0;0;0;0,4;1;1096;10050;TACCHINA, COSCIA
712;TACCHINO   INTERO     ;75;72;146;611;21;21;0;6,8;6,8;0;2,2;2,08;2,41;1,18;0,1;0,19;1,47;82;0,1;0;0,1;0;0;3,1;23;66;315;287;1,8;0,13;0,11;8;0;0,55;16;7;7;0;0,01;0,4;1;100051;10050;TACCHINO [MELEAGRIS GALLOPAVO], INTERO
713;TACCHINO ALA       ;75;68,2;193;808;22,3;22,3;0;11,5;11,5;0;3,48;3,67;4,22;2,3;0,27;0,21;2,78;78;0;0;0;0;0;2,5;23;70;320;257;1,8;0,11;0,14;7,5;0;0,55;16;0;0;0;0,01;0,4;1;1072;10050;TACCHINO, ALA
714;TACCHINO COSCIA       ;87;69,2;186;778;20,9;20,9;0;11,2;11,2;0;3,39;3,58;4,11;2,24;0,26;0,2;2,71;86;0,4;0;0,4;0;0;2,5;23;81;310;257;3,1;0,11;0,14;7,1;0;0,35;28;0;0;0;0;0,4;1;1071;10050;TACCHINO, COSCIA
715;TACCHINO PETTO       ;100;70,2;134;561;22;22;0;4,9;4,9;0;1,59;1,5;1,74;0,85;0,07;0,14;1,06;57;0,4;0;0,4;0;0;2,5;23;51;320;290;1;0,08;0,13;0,8;0;0,81;9;0;0;0;0;0,3;1;1070;10050;TACCHINO, PETTO
716;TALEGGIO        ;100;50;306;1280;20,6;20,6;0;24,8;24,8;0;15,39;6,78;8,02;0,51;0,36;0;0,88;90;0;0;0;0;0;0,6;562;1153;121;310;2;0,05;0,52;1;0;0,22;102;283;230;315;0,65;0,18;1;100031;7001;TALEGGIO
717;TAMARI salsa di soia     ;100;66;60;251;10,5;0;10,5;0,1;0;0,1;0,01;0,02;0,02;0,04;0;0;0,04;0;4,8;0,5;4,3;0,8;0;2,4;20;5586;212;130;0,4;0,06;0,15;4;0;0,2;18;0;0;0;0;0;1;888010;3004;TAMARI, salsa di soia
718;TAPIOCA        ;100;12,6;363;1519;0,6;0;0,6;0,2;0;0,2;0,05;0,05;0,05;0,02;0,01;0;0,03;0;95,8;95,8;0;0,4;0;1;12;4;20;12;0,1;0;0,1;0;0;0;0;0;0;0;0;0;1;18;1001;TAPIOCA [MANIHOT UTILISSIMA]
