ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
587;PRUGNE REGINA CLAUDIA      ;95;82;41;172;0,8;0;0,8;0,1;0;0,1;0,01;0,06;0,07;0,02;0;0;0,02;0;9,7;0;9,7;2,3;0;0,4;17;1;310;23;0,1;0,05;0,04;0,6;5;0,05;3;16;0;95;0,7;0;1;805788;4001;PRUGNE REGINA CLAUDIA [PRUNUS DOMESTICA, CV ITALICA]
588;PRUGNE secche       ;88;29,3;220;920;2,2;0;2,2;0,5;0;0,5;0,04;0,33;0,33;0,11;0;0;0,11;0;55;0;55;9;0;3,9;59;8;824;85;0,4;0,18;0,02;1;3;0,21;3;19;0;114;1,79;0;1;513;4003;PRUGNE, secche
589;QUAGLIA        ;67;65,9;161;674;25;25;0;6,8;6,8;0;1,91;1,99;2,36;1,3;0,24;0,15;1,68;100;0;0;0;0;0;1,5;12;40;175;200;2,7;0,08;0,15;7,5;0;0,6;8;73;73;0;0,05;0,5;1;1093;10050;QUAGLIA [COTURNIX COTURNIX]
590;RADICCHIO ROSSO       ;72;94;13;54;1,4;0;1,4;0,1;0;0,1;0,02;0;0;0,04;0,01;0;0,05;0;1,6;0;1,6;3;0;0,3;36;7;180;30;0,2;0,07;0,05;0,3;10;0,07;13;0;0;0;0,57;0;1;339;2008;RADICCHIO ROSSO [CICHORIUM INTYBUS]
591;RADICCHIO VERDE       ;95;88,1;14;59;1,9;0;1,9;0,5;0;0,5;0,12;0,01;0,01;0,19;0,03;0;0,22;0;0,5;0;0,5;1;0;7,8;115;14;357;45;0,4;0,06;0,53;0,3;46;0,02;29;542;0;3252;0,57;0;1;340;2008;RADICCHIO VERDE [CICHORIUM INTYBUS]
592;RANA        ;35;81,9;64;268;15,5;15,5;0;0,2;0,2;0;0,07;0;0;0;0;0;0;50;0;0;0;0;0;6;20;55;310;430;2;0,16;0,06;1,2;0;1,2;10;0;0;0;0,8;0,5;1;1094;10007;RANA [RANA ESCULENTA]
593;RANA PESCATRICE       ;33;84;63;264;12,8;12,8;0;1;1;0;0,22;0,16;0,16;0;0;0,4;0,4;50;0,6;0;0,6;0;0;0,4;28;18;400;165;0,4;0,12;0,05;0,9;1;0,24;7;8;8;0;0,4;0;1;100112;11001;RANA PESCATRICE [LOPHIUS PISCATORIUS]
594;RAPE        ;69;93,3;18;75;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3,8;0;3,8;2,6;0;0,6;40;58;240;29;0,1;0,02;0,07;0,9;23;0,06;11;0;0;0;0;0;1;341;2003;RAPE [BRASSICA RAPA]
595;RAVANELLI        ;99;95,6;11;46;0,8;0;0,8;0,1;0;0,1;0,03;0,02;0,02;0,02;0,03;0;0,05;0;1,8;0;1,8;1,3;0;0,9;39;59;240;29;0,1;0,03;0,02;0,4;18;0,07;38;0;0;0;0;0;1;342;2003;RAVANELLI [RAPHANUS SATIVUS]
596;RAZZA        ;35;82,2;68;285;14,2;14,2;0;0,9;0,9;0;0;0;0,23;0;0;0,23;0,45;70;0,7;0;0,7;0;0;1;31;130;222;218;0,5;0,03;0,04;2,5;0;0,37;5;15;15;0;0,4;0;1;1317;11001;RAZZA [RAJA ASTERIAS]
